,Accuracy,Topology,Activation,Alpha,Lambda,Epochs,Batch Size
67,0.4290111111111111,[784  30  10],relu,0.97,0.3,20,90
65,0.42155,[784  11  10],softmax,0.22,0.5,470,90
17,0.4093777777777778,[784  60  10],relu,0.62,0.5,10,30
45,0.4085611111111111,[784 100  10],relu,0.67,0.9,40,40
93,0.4061777777777778,[784  11  10],relu,0.8400000000000001,0.7000000000000001,180,90
13,0.4061,[784  30  10],relu,0.6900000000000001,0.4,50,40
15,0.4049611111111111,[784  10  10],softmax,0.05,0.2,460,60
32,0.3937222222222222,[784  11  10],softmax,0.03,0.2,480,70
25,0.3895,[784  10  10],softmax,0.25,0.3,120,80
24,0.3877388888888889,[784  10  10],softmax,0.6,0.7000000000000001,450,80
46,0.3830888888888888,[784  10],softmax,0.53,0.1,90,10
56,0.3816555555555556,[784  11  10],softmax,0.96,0.4,210,80
85,0.3784666666666667,[784  11  10],softmax,0.89,0.9,130,90
54,0.3772277777777778,[784  10],softmax,0.86,0.9,210,20
73,0.3766722222222222,[784  11  10],softmax,0.06,0.5,100,70
14,0.3761388888888889,[784  30  10],relu,0.93,0.3,20,80
2,0.3737388888888889,[784  30  10],tanh,0.46,0.8,40,10
13,0.3715277777777778,[784  10  10],softmax,0.8200000000000001,0.4,60,50
58,0.3666333333333333,[784  11  10],relu,0.65,0.7000000000000001,220,50
18,0.3626777777777777,[784  10  10],softmax,0.18,0.9,180,70
18,0.3570777777777777,[784 100  10],tanh,0.5700000000000001,2.2,10,30
166,0.3559777777777778,[784  30  10],relu,0.5700000000000001,1.6,40,50
82,0.3543222222222222,[784 100  10],relu,0.77,0.9,50,70
186,0.3516388888888889,[784  30  10],relu,0.9,0.4,30,80
69,0.3514777777777778,[784  10  10],softmax,0.24,0.3,220,60
80,0.3475611111111111,[784  10  10],softmax,0.27,0.2,380,70
29,0.3461777777777777,[784  10],tanh,0.45,0.2,380,10
91,0.3459055555555556,[784  10],relu,0.55,0.1,160,10
